<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB,RTS-12,18;1;11/09/18;10:01;103300;104000;103300;103730;159
SPFB,RTS-12,18;1;11/09/18;10:02;103740;103900;103740;103820;137
SPFB,RTS-12,18;1;11/09/18;10:03;103850;103960;103850;103960;38
SPFB,RTS-12,18;1;11/09/18;10:04;103920;103920;103780;103800;70
SPFB,RTS-12,18;1;11/09/18;10:05;103790;103860;103790;103860;8
SPFB,RTS-12,18;1;11/09/18;10:06;103880;103960;103780;103820;162
SPFB,RTS-12,18;1;11/09/18;10:07;103850;103880;103810;103880;39
SPFB,RTS-12,18;1;11/09/18;10:08;103890;103970;103890;103910;50
SPFB,RTS-12,18;1;11/09/18;10:09;103980;104000;103970;103990;62
SPFB,RTS-12,18;1;11/09/18;10:10;103980;104000;103980;103980;20
SPFB,RTS-12,18;1;11/09/18;10:11;104010;104040;104000;104010;55
SPFB,RTS-12,18;1;11/09/18;10:12;104010;104060;104010;104060;17
SPFB,RTS-12,18;1;11/09/18;10:13;104090;104100;104080;104100;5
SPFB,RTS-12,18;1;11/09/18;10:14;104100;104150;104080;104080;42
SPFB,RTS-12,18;1;11/09/18;10:15;104110;104430;104110;104310;220
SPFB,RTS-12,18;1;11/09/18;10:16;104310;104320;104250;104320;41
SPFB,RTS-12,18;1;11/09/18;10:17;104320;104340;104300;104310;56
SPFB,RTS-12,18;1;11/09/18;10:18;104270;104270;104200;104250;13
SPFB,RTS-12,18;1;11/09/18;10:19;104240;104240;104180;104180;3
SPFB,RTS-12,18;1;11/09/18;10:20;104160;104160;104030;104030;209
SPFB,RTS-12,18;1;11/09/18;10:21;104030;104110;104030;104090;12
SPFB,RTS-12,18;1;11/09/18;10:22;104100;104100;104100;104100;2
SPFB,RTS-12,18;1;11/09/18;10:23;104100;104100;104100;104100;4
SPFB,RTS-12,18;1;11/09/18;10:24;104120;104120;104090;104100;9
SPFB,RTS-12,18;1;11/09/18;10:25;104050;104050;104010;104010;31
SPFB,RTS-12,18;1;11/09/18;10:26;104000;104000;103810;103890;75
SPFB,RTS-12,18;1;11/09/18;10:27;103950;103970;103950;103960;13
SPFB,RTS-12,18;1;11/09/18;10:28;103970;104010;103970;104010;30
SPFB,RTS-12,18;1;11/09/18;10:29;104030;104060;104030;104060;8
SPFB,RTS-12,18;1;11/09/18;10:30;104050;104090;104050;104070;9
SPFB,RTS-12,18;1;11/09/18;10:31;104120;104200;104100;104180;27
SPFB,RTS-12,18;1;11/09/18;10:32;104130;104130;104120;104130;15
SPFB,RTS-12,18;1;11/09/18;10:33;104110;104110;104090;104090;24
SPFB,RTS-12,18;1;11/09/18;10:34;104090;104090;104090;104090;1
SPFB,RTS-12,18;1;11/09/18;10:37;104050;104050;104040;104040;3
SPFB,RTS-12,18;1;11/09/18;10:38;104010;104060;104010;104060;11
SPFB,RTS-12,18;1;11/09/18;10:39;104020;104020;103980;103980;26
SPFB,RTS-12,18;1;11/09/18;10:40;103980;103980;103960;103980;7
SPFB,RTS-12,18;1;11/09/18;10:41;104100;104100;104100;104100;1
SPFB,RTS-12,18;1;11/09/18;10:42;104080;104080;104080;104080;9
SPFB,RTS-12,18;1;11/09/18;10:43;104080;104080;104080;104080;1
SPFB,RTS-12,18;1;11/09/18;10:44;104080;104080;104070;104070;20
SPFB,RTS-12,18;1;11/09/18;10:45;104040;104100;104040;104100;2
SPFB,RTS-12,18;1;11/09/18;10:46;104110;104110;104050;104050;5
SPFB,RTS-12,18;1;11/09/18;10:47;104050;104110;104050;104110;6
SPFB,RTS-12,18;1;11/09/18;10:48;104160;104220;104160;104200;18
SPFB,RTS-12,18;1;11/09/18;10:49;104200;104200;104200;104200;1
SPFB,RTS-12,18;1;11/09/18;10:50;104210;104210;104200;104200;5
SPFB,RTS-12,18;1;11/09/18;10:51;104210;104300;104210;104300;7
SPFB,RTS-12,18;1;11/09/18;10:52;104270;104300;104270;104300;101
SPFB,RTS-12,18;1;11/09/18;10:53;104250;104310;104250;104310;4
SPFB,RTS-12,18;1;11/09/18;10:54;104290;104290;104290;104290;1
SPFB,RTS-12,18;1;11/09/18;10:55;104290;104300;104290;104300;8
SPFB,RTS-12,18;1;11/09/18;10:56;104270;104270;104270;104270;1
SPFB,RTS-12,18;1;11/09/18;10:57;104220;104230;104200;104200;77
SPFB,RTS-12,18;1;11/09/18;10:58;104190;104190;104140;104140;67
SPFB,RTS-12,18;1;11/09/18;10:59;104150;104170;104150;104170;2
SPFB,RTS-12,18;1;11/09/18;11:00;104250;104250;104210;104220;12
SPFB,RTS-12,18;1;11/09/18;11:01;104320;104320;104310;104310;3
SPFB,RTS-12,18;1;11/09/18;11:02;104350;104350;104350;104350;9
SPFB,RTS-12,18;1;11/09/18;11:04;104310;104310;104260;104260;22
SPFB,RTS-12,18;1;11/09/18;11:05;104260;104300;104260;104300;3
SPFB,RTS-12,18;1;11/09/18;11:06;104290;104290;104240;104240;35
SPFB,RTS-12,18;1;11/09/18;11:07;104250;104280;104250;104280;2
SPFB,RTS-12,18;1;11/09/18;11:08;104280;104280;104280;104280;1
SPFB,RTS-12,18;1;11/09/18;11:09;104310;104320;104300;104300;3
SPFB,RTS-12,18;1;11/09/18;11:10;104270;104270;104250;104250;38
SPFB,RTS-12,18;1;11/09/18;11:11;104250;104250;104230;104230;43
SPFB,RTS-12,18;1;11/09/18;11:12;104220;104220;104210;104210;50
SPFB,RTS-12,18;1;11/09/18;11:13;104250;104250;104250;104250;1
SPFB,RTS-12,18;1;11/09/18;11:14;104260;104310;104260;104310;3
SPFB,RTS-12,18;1;11/09/18;11:15;104310;104590;104310;104540;162
SPFB,RTS-12,18;1;11/09/18;11:16;104560;104700;104560;104590;34
SPFB,RTS-12,18;1;11/09/18;11:17;104590;104600;104520;104520;20
SPFB,RTS-12,18;1;11/09/18;11:18;104570;104580;104570;104580;5
SPFB,RTS-12,18;1;11/09/18;11:19;104550;104550;104550;104550;5
SPFB,RTS-12,18;1;11/09/18;11:20;104510;104510;104490;104490;7
SPFB,RTS-12,18;1;11/09/18;11:21;104530;104560;104530;104560;4
SPFB,RTS-12,18;1;11/09/18;11:22;104590;104640;104590;104590;13
SPFB,RTS-12,18;1;11/09/18;11:23;104600;104630;104600;104630;4
SPFB,RTS-12,18;1;11/09/18;11:24;104610;104640;104540;104540;14
SPFB,RTS-12,18;1;11/09/18;11:25;104570;104570;104550;104550;9
SPFB,RTS-12,18;1;11/09/18;11:26;104570;104570;104570;104570;7
SPFB,RTS-12,18;1;11/09/18;11:27;104540;104550;104540;104550;4
SPFB,RTS-12,18;1;11/09/18;11:28;104560;104570;104540;104570;39
SPFB,RTS-12,18;1;11/09/18;11:29;104570;104570;104540;104550;10
SPFB,RTS-12,18;1;11/09/18;11:30;104520;104520;104520;104520;1
SPFB,RTS-12,18;1;11/09/18;11:31;104550;104580;104540;104580;41
SPFB,RTS-12,18;1;11/09/18;11:32;104570;104570;104570;104570;2
SPFB,RTS-12,18;1;11/09/18;11:33;104580;104580;104550;104550;6
SPFB,RTS-12,18;1;11/09/18;11:34;104560;104560;104490;104550;81
SPFB,RTS-12,18;1;11/09/18;11:35;104550;104550;104550;104550;1
SPFB,RTS-12,18;1;11/09/18;11:36;104520;104520;104520;104520;1
SPFB,RTS-12,18;1;11/09/18;11:37;104510;104510;104500;104500;2
SPFB,RTS-12,18;1;11/09/18;11:39;104530;104530;104490;104490;7
SPFB,RTS-12,18;1;11/09/18;11:40;104480;104490;104430;104440;55
SPFB,RTS-12,18;1;11/09/18;11:41;104450;104450;104420;104450;57
SPFB,RTS-12,18;1;11/09/18;11:42;104450;104450;104450;104450;48
SPFB,RTS-12,18;1;11/09/18;11:43;104470;104470;104470;104470;3
SPFB,RTS-12,18;1;11/09/18;11:44;104420;104450;104420;104450;8
SPFB,RTS-12,18;1;11/09/18;11:45;104400;104440;104400;104440;6
SPFB,RTS-12,18;1;11/09/18;11:46;104450;104450;104410;104410;43
SPFB,RTS-12,18;1;11/09/18;11:47;104390;104410;104390;104410;3
SPFB,RTS-12,18;1;11/09/18;11:48;104350;104350;104340;104340;3
SPFB,RTS-12,18;1;11/09/18;11:49;104340;104340;104300;104300;3
SPFB,RTS-12,18;1;11/09/18;11:50;104310;104310;104230;104230;67
SPFB,RTS-12,18;1;11/09/18;11:51;104230;104270;104230;104270;140
SPFB,RTS-12,18;1;11/09/18;11:52;104270;104290;104270;104290;65
SPFB,RTS-12,18;1;11/09/18;11:53;104280;104330;104270;104330;9
SPFB,RTS-12,18;1;11/09/18;11:54;104340;104340;104340;104340;8
SPFB,RTS-12,18;1;11/09/18;11:55;104330;104350;104320;104320;206
SPFB,RTS-12,18;1;11/09/18;11:56;104340;104340;104340;104340;4
SPFB,RTS-12,18;1;11/09/18;11:59;104330;104330;104330;104330;2
SPFB,RTS-12,18;1;11/09/18;12:00;104340;104340;104340;104340;10
SPFB,RTS-12,18;1;11/09/18;12:01;104340;104360;104340;104360;53
SPFB,RTS-12,18;1;11/09/18;12:02;104300;104300;104300;104300;1
SPFB,RTS-12,18;1;11/09/18;12:03;104280;104280;104280;104280;2
SPFB,RTS-12,18;1;11/09/18;12:04;104260;104260;104250;104250;41
SPFB,RTS-12,18;1;11/09/18;12:05;104250;104260;104230;104240;56
SPFB,RTS-12,18;1;11/09/18;12:06;104240;104240;104210;104210;58
SPFB,RTS-12,18;1;11/09/18;12:07;104210;104240;103970;104000;197
SPFB,RTS-12,18;1;11/09/18;12:08;104000;104000;103900;103990;12
SPFB,RTS-12,18;1;11/09/18;12:09;103970;104000;103970;104000;28
SPFB,RTS-12,18;1;11/09/18;12:11;103940;103940;103930;103930;5
SPFB,RTS-12,18;1;11/09/18;12:12;103900;103900;103790;103790;40
SPFB,RTS-12,18;1;11/09/18;12:13;103770;103820;103760;103810;13
SPFB,RTS-12,18;1;11/09/18;12:14;103820;103850;103820;103820;5
SPFB,RTS-12,18;1;11/09/18;12:16;103850;103870;103850;103870;2
SPFB,RTS-12,18;1;11/09/18;12:17;103860;103910;103850;103910;5
SPFB,RTS-12,18;1;11/09/18;12:18;103910;103950;103910;103950;25
SPFB,RTS-12,18;1;11/09/18;12:19;103900;103900;103900;103900;8
SPFB,RTS-12,18;1;11/09/18;12:20;103930;103930;103930;103930;1
SPFB,RTS-12,18;1;11/09/18;12:21;103960;103960;103930;103930;3
SPFB,RTS-12,18;1;11/09/18;12:22;103960;103960;103960;103960;1
SPFB,RTS-12,18;1;11/09/18;12:23;103990;104000;103990;104000;18
SPFB,RTS-12,18;1;11/09/18;12:24;103940;103940;103900;103900;2
SPFB,RTS-12,18;1;11/09/18;12:25;103880;103880;103880;103880;1
SPFB,RTS-12,18;1;11/09/18;12:26;103870;103880;103870;103870;7
SPFB,RTS-12,18;1;11/09/18;12:27;103830;103830;103830;103830;1
SPFB,RTS-12,18;1;11/09/18;12:29;103910;103920;103860;103860;3
SPFB,RTS-12,18;1;11/09/18;12:30;103820;103860;103820;103860;3
SPFB,RTS-12,18;1;11/09/18;12:34;103870;103870;103870;103870;1
SPFB,RTS-12,18;1;11/09/18;12:35;103840;103840;103790;103790;10
SPFB,RTS-12,18;1;11/09/18;12:36;103760;103770;103760;103770;24
SPFB,RTS-12,18;1;11/09/18;12:37;103750;103750;103700;103720;55
SPFB,RTS-12,18;1;11/09/18;12:38;103710;103710;103690;103700;24
SPFB,RTS-12,18;1;11/09/18;12:39;103660;103660;103510;103510;129
SPFB,RTS-12,18;1;11/09/18;12:40;103560;103620;103540;103620;6
SPFB,RTS-12,18;1;11/09/18;12:41;103560;103600;103550;103600;11
SPFB,RTS-12,18;1;11/09/18;12:42;103630;103630;103630;103630;1
SPFB,RTS-12,18;1;11/09/18;12:46;103600;103600;103600;103600;5
SPFB,RTS-12,18;1;11/09/18;12:47;103590;103590;103580;103580;3
SPFB,RTS-12,18;1;11/09/18;12:49;103550;103570;103550;103570;5
SPFB,RTS-12,18;1;11/09/18;12:50;103600;103620;103600;103620;2
SPFB,RTS-12,18;1;11/09/18;12:51;103610;103620;103610;103610;12
SPFB,RTS-12,18;1;11/09/18;12:52;103610;103610;103610;103610;1
SPFB,RTS-12,18;1;11/09/18;12:54;103600;103600;103600;103600;1
SPFB,RTS-12,18;1;11/09/18;12:56;103620;103640;103620;103640;5
SPFB,RTS-12,18;1;11/09/18;12:58;103630;103630;103630;103630;1
